FTno_State,Fuel_Name,FTno_FDR,Fuel_FDR,FBM,FHS_s,FHS_ns,FHS_el,FHS_b,FL_s,FL_ns,FL_el,FL_b,FL_o,FL_total,FI_s,FI_ns,FI_el,FI_b,FI_o,FI_total,Fk_s,Fk_ns,Fk_el,Fk_b,Fk_o,Fk_total,H_ns,H_el,H_o,Hk_ns,Cov_o,WF_Sav,WF_Heath,WRF_For,Spotting,Prod_BG,OFHR,WSF,FHR_s,FHR_el,FHR_b
5036,Acacia Shrubland (not arid/semi arid),300,Woodland,Savanna,3.07,2.63,3.33,2.1,11,0,5,2.1,0,18.1,0.7,0,0,0,,0.7,0.3,0.3,0.3,0.3,,0.3,,,,,,0.5,,3,0,,5,0,,,
5037,Arid and semi arid Acacia Shrubland,310,Acacia_woodland,Savanna,1.9,1.63,3.07,1.2,5.5,0,2.8,0.5,0,8.8,1.2,0,0,0,,1.2,0.19,0.19,0.1,0.15,,0.19,,,,,,0.5,,2.1,0,,4,0,,,
5038,Chenopod and low flammability shrubland (may have some other species such as aciacia but generally low flamability),550,Chenopod_shrubland,Grassland,0.17,0.15,2.03,0,0.4,0,0.4,0,0,0.8,0.4,0,0.3,0,,0.7,0,0,0,0,,0,,,,,,,,2.2,0,,1,0,,,
5039,Heath,600,Heath,Heathland,1.3,1.11,3.49,1.7,3.5,0,6,1.1,0,10.6,0.5,0,0,0,,0.5,0.1,0.1,0.56,0.15,,0.1,,1.3,,,,,0.67,2.3,0,,5,0,,,
5040,Coastal Heath,600,Heath,Heathland,1.06,0.91,3.58,1.6,2.8,0,6,1,0,9.8,0.7,0,0,0,,0.7,0.1,0.1,0.4,0.2,,0.1,,1.3,,,,,0.67,2.3,0,,5,0,,,
5041,Casuarina and Allocasuarina forests and woodlands,300,Woodland,Savanna,3.68,3,2.7,1.2,11,0,1.1,0.5,0,12.6,0.5,0,0,0,,0.5,0.07,0.07,0.2,0.15,,0.07,,,,,,0.5,,2.8,0,,5,0,,,
5042,Mulga (Acacia aneura) woodlands and tall shrublands with tussock grass,300,Woodland,Savanna,3.15,2.7,3.24,2.2,11,0,4.5,2.4,0,17.9,1.5,0,0,0,,1.5,0.07,0.07,0.2,0.1,,0.07,,,,,,0.5,,3,0,,5,0,,,
5043,Callitris woodlands,100,Forest,Vesta,3.07,2.63,3.24,2,11,0,4.5,1.8,4.5,21.8,0.7,0,0,0,,0.7,0.07,0.07,0.2,0.15,0.3,0.07,25,1.5,20,0.3,,,,3,0,,4,0,,,
5044,Arid/Semi arid Callitris woodlands,310,Acacia_woodland,Savanna,1.8,1.54,2.96,2.05,5.1,0,1.7,2,0,8.8,0.2,0,0,0,,0.2,0.05,0.05,0.12,0.19,,0.05,,,,,,0.5,,3,0,,4,0,,,
5045,Other open shrub/woodland,310,Acacia_woodland,Savanna,1.4,1.2,2.98,1.1,3.8,0,2.4,0.4,0,6.6,0.5,0,0,0,,0.5,0.25,0.25,0.1,0.1,,0.25,,,,,,0.5,,2.5,0,,4,0,,,
5046,Other arid/semi-arid shrubland,310,Acacia_woodland,Savanna,1.4,1.2,2.98,0.3,3.8,0,2.4,0.1,0,6.3,0.2,0,0,0,,0.2,0.15,0.15,0.1,0.1,,0.15,,,,,,0.5,,2.5,0,,4,0,,,
5047,Urban Interface,370,Urban,Savanna,0.25,0.21,3.12,1.63,0.6,0,3.9,1,0,5.5,0.6,0,3.9,1,,5.5,0,0,0.29,0.34,,0,,,,,,0.5,,4,0,,4,0,,,
5048,PRAD01 (1R),200,Pine,Pine,0.76,0.65,2.97,0,1.9,0,1.7,0,0,3.6,0,0,0,0,,0,0.14,0.14,0.08,0,,0.14,,,,,,,,2,0,,1,0,,,
5049,PRAD01 (2R),200,Pine,Pine,0.76,0.65,2.97,0,1.9,0,1.7,0,0,3.6,0,0,0,0,,0,0.14,0.14,0.08,0,,0.14,,,,,,,,2,0,,1,0,,,
5050,PRAD020304,200,Pine,Pine,1.27,1.09,2.19,1.71,3.4,0,0.5,1.2,0,5.1,0,0,0,0,,0,0.2,0.2,0.24,0.24,,0.2,,,,,,,,4,0,,3,0,,,
5051,PRAD05,200,Pine,Pine,2.2,1.89,0,2.47,6.6,0,0,3.3,0,9.9,0,0,0,0,,0,0.05,0.05,0,0.15,,0.05,,,,,,,,5,0,,4,0,,,
5052,PRAD06,200,Pine,Pine,2.97,2.55,0,0,9.9,0,0,0,0,9.9,1.7,0,0,0,,1.7,0.59,0.59,0,0,,0.59,,,,,,,,2,0,,2,0,,,
5053,Gum Plantation,100,Forest,Vesta,2.03,1.74,0,1.03,5.9,0,0,0.4,4.5,10.8,0.4,0,0,0,,0.4,0.15,0.15,1,0.15,0.3,0.15,25,1.5,20,0.3,,,,4,0,,3,0,,,
5054,Gum Plantation class 2,100,Forest,Vesta,0,0,0,0,0,0,0,0,4.5,4.5,0,0,0,0,,0,0,0,0,0,0.3,0,25,1.5,20,0.3,,,,3,0,,1,0,,,
5055,Gum Plantation 3,100,Forest,Vesta,0,0,0,0,0,0,0,0,4.5,4.5,0,0,0,0,,0,0,0,0,0,0.3,0,25,1.5,20,0.3,,,,2.5,0,,1,0,,,
5056,Gum Plantation 4,100,Forest,Vesta,0,0,0,0,0,0,0,0,4.5,4.5,0,0,0,0,,0,0,0,0,0,0.3,0,25,1.5,20,0.3,,,,2,0,,1,0,,,
5057,Gum Plantation 5,100,Forest,Vesta,0,0,0,0,0,0,0,0,4.5,4.5,0,0,0,0,,0,0,0,0,0,0.3,0,25,1.5,20,0.3,,,,3,0,,1,0,,,
5058,Orchard,350,Woody_horticulture,Savanna,1.1,0.94,2.29,0,2.9,0,0.6,0,0,3.5,0,0,0,0,,0,0.15,0.15,0.12,0,,0.15,,,,,,0.5,,3,0,,2,0,,,
5059,Vineyard,350,Woody_horticulture,Savanna,0.93,0.8,2.29,0,2.4,0,0.6,0,0,3,0,0,0,0,,0,0.2,0.2,0.24,0,,0.2,,,,,,0.5,,2.5,0,,1,0,,,
5060,Irrigated Crop Horticulture or Pasture,830,Horticulture,Non_combustible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,2,0,,1,0,,,
5061,Planted Wind Break,360,Rural,Savanna,2.71,2.32,2.89,1.88,8.7,0,1.5,1.5,0,11.7,0.8,0,0.1,0.1,,1,0.14,0.14,0.15,0.1,,0.14,,,,,,0.5,,3,0,,3,0,,,
5062,Natural Grass,800,Grass,Grassland,1.61,1.38,0,0,4.5,0,0,0,0,4.5,4.5,0,0,0,,4.5,1,1,0,0,,1,,,,,,,,2,0,,2,0,,,
5063,Grazed/Cut Grass,810,Pasture,Grassland,0.79,0.68,0,0,2,0,0,0,0,2,2,0,0,0,,2,1,1,0,0,,1,,,,,,,,2,0,,1,0,,,
5064,Eaten Out Grass,810,Pasture,Grassland,0.34,0.29,0,0,0.8,0,0,0,0,0.8,0.8,0,0,0,,0.8,1,1,0,0,,1,,,,,,,,2,0,,1,0,,,
4001,Mesophyll to Notophyll vine forest sparse,150,Wet_forest,Vesta,1.62,0,2.88,2.05,3.8,0,0,0,8,11.8,0.25,0,0,0,0,0.25,0.67,0.67,0.25,1.65,0.3,0.67,25,1.5,20,0.3,,,,5,0,,5,0,,,
4002,Semi-evergreen to deciduous microphyll vine forest,150,Wet_forest,Vesta,2.04,0,0,2.05,6,0,0,0,8,14,0.6,0,0,0,0,0.6,0.67,0.67,0,1.95,0.3,0.67,25,1.5,20,0.3,,,,4,0,,4,0,,,
4003,Wet Eucalypt tall open forst,150,Wet_forest,Vesta,4,3,2.86,1.63,11,3,2,2,8,43,5.11,0.55,0.4,0.2,0,6.26,0.67,0.67,0.25,1.33,0.3,0.67,25,1.5,20,0.3,,,,3,0,,5,1,,,
4004,Wet eucalypt tall woodland,150,Wet_forest,Vesta,3.74,3,2.96,2.06,11,3.1,1.7,1,8,31.8,1.79,0.31,0.2,0.2,0,2.5,0.4,0.4,0.35,2.08,0.3,0.4,25,1.5,20,0.3,,,,3,0,,5,1,,,
4005,Moist to dry eucalypt open forests on coastal lowlands and ranges,150,Wet_forest,Vesta,3.11,2.67,2.89,1.61,11,3.5,2.2,1,8,32.2,4.31,0.86,0.42,0.2,0,5.79,0.67,0.67,0.25,1.7,0.3,0.67,25,1.5,20,0.3,,,,2.5,0,,4,1,,,
4006,Moist to dry eucalypt woodland on coastal lowlands and ranges,150,Wet_forest,Vesta,3.38,2.9,2.78,1.61,11,3.5,1.3,1,8,25.2,1.15,0.35,0.1,0.1,0,1.7,0.4,0.4,0.35,1.33,0.3,0.4,25,1.5,20,0.3,,,,3,0,,4,1,,,
4007,Shrubland within moist to dry eucalypt on coastal lowlands and ranges,650,Wet_heath,Heathland,2.91,2.49,2.81,2.38,7.8,3,1.9,0,0,12.7,1.53,0.59,0.4,0,0,2.52,0.25,0.25,0.25,2.08,0,0.25,,1.3,,,,,0.35,3.5,0,,5,0,,,
4008,Spotted gum dominated open forests / woodlands,100,Forest,Vesta,3.7,3,2.87,2.06,11,3,1.2,0,4.5,23.6,1.47,0.3,0.08,0,0,1.85,0.67,0.67,0.25,2.08,0.3,0.67,25,1.5,20,0.3,,,,3,0,,5,0,,,
4009,Moist to dry eucalypt woodlands on basalt areas,300,Woodland,Savanna,3.05,2.61,2.96,1.61,7.5,4,0.5,1,0,13,0.72,0.38,0,0.1,0,1.2,0.4,0.4,0.35,1.33,0,0.4,,,,,,0.5,,2.5,0,,4,0,,,
4010,Dry eucalypt open forests / woodlands on sandstone and shallow soils,100,Forest,Vesta,3.62,3,2.97,1.61,11,2.7,1.8,1,4.5,22.3,1.2,0.26,0.11,0.1,0,1.67,0.25,0.25,0.25,1.33,0.3,0.25,25,1.5,20,0.3,,,,3,0,,5,0,,,
4011,Dry to moist eucalypt open forests / woodlands on undulating metamorphics and granite,300,Woodland,Savanna,2.97,2.55,2.81,1.61,10,3.4,0.7,1,0,15.1,1.73,0.59,0.05,0.1,0,2.47,0.67,0.67,0.25,1.33,0,0.67,,,,,,0.5,,2.5,0,,4,0,,,
4012,Shrubland associated with dry to moist eucalypt woodlands on undulating terrain,300,Woodland,Savanna,2.2,1.89,2.51,2.05,6.6,0,0.8,2,0,9.4,1.3,0,0.2,0.2,0,1.7,0.25,0.25,0.25,1.75,0,0.25,,,,,,0.5,,2.5,0,,5,0,,,
4013,Open forests / woodlands dominated by Darwin Stringybark Melville Island bloodwood or scarlet gum,300,Woodland,Savanna,2.59,2.22,2.63,2.06,9.2,2.3,0.9,1.1,0,13.5,1.35,0.34,0.09,0.11,0,1.89,0.67,0.67,0.51,1.7,0,0.67,,,,,,0.5,,2.5,0,,5,0,,,
4015,Temperate open eucalypt forests,100,Forest,Vesta,3.98,3,2.97,1.61,11,0.3,1.8,1,4.5,31.3,4.76,0.06,0.32,0.2,0,5.34,0.67,0.67,0.25,1.7,0.3,0.67,25,1.5,20,0.3,,,,3,0,,5,0,,,
4016,Temperate eucalypt woodlands,100,Forest,Vesta,3.13,2.68,2.98,2.07,10.2,1.8,1.8,0,4.5,18.3,1.02,0.18,0.2,0,0,1.4,0.4,0.4,0.35,1.75,0.3,0.4,25,1.5,20,0.3,,,,2.5,0,,5,0,,,
4017,Eucalyptus dominated forest on drainage lines and alluvial plains,100,Forest,Vesta,2.93,2.51,2.7,1.61,10,3.8,1.2,1,4.5,20.5,2.78,1.06,0.22,0.2,0,4.26,0.67,0.67,0.25,1.7,0.3,0.67,25,1.5,20,0.3,,,,2.5,0,,3,0,,,
4018,Eucalyptus dominated woodland on drainage lines and alluvial plains,300,Woodland,Savanna,2.97,2.55,2.14,2.05,7.5,3.6,0.5,0,0,11.6,0.75,0.36,0,0,0,1.11,0.4,0.4,0.35,1.75,0,0.4,,,,,,0.5,,2.5,0,,5,0,,,
4019,Shrubland associated with eucalyptus woodlands on drainage lines,300,Woodland,Savanna,2.66,2.28,1.21,2.05,5.8,2.7,0.1,0,0,8.6,1.16,0.54,0,0,0,1.7,0.25,0.25,0.25,1.75,0,0.25,,,,,,0.5,,2,0,,4,0,,,
4020,Sedgeland associated with Eucalyptus woodlands on drainage lines,300,Woodland,Savanna,2.36,2.02,3.23,2.05,3.9,3.4,3.5,0,0,10.8,0.38,0.33,0.3,0,0,1.01,0.6,0.6,0.2,1.75,0,0.6,,,,,,0.5,,1.8,0,,5,0,,,
4021,Dry open forests / woodlands on sand or depositional plains,300,Woodland,Savanna,3.34,2.86,2.3,2.05,6.7,3.2,0.6,0,0,10.5,0.69,0.33,0,0,0,1.02,0.67,0.67,0.25,1.75,0,0.67,,,,,,0.5,,2.5,0,,5,0,,,
4022,Low open eucalyptus woodlands dominated by snappy gum Cloncurry Box or Normanton box,450,Spinifex_woodland,Spinifex,2.36,2.02,2.48,1.61,4.3,3,0.8,1,0,9.1,0.42,0.29,0.1,0.1,0,0.91,0.75,0.75,0.35,1.33,0,0.75,,,,,,0.5,,2.2,0,1,3,0,,,
4023,Shrubland / Grassland associated with low open eucalypt woodlands dominated by snappy gum Cloncurry Box or Normanton box,450,Spinifex_woodland,Spinifex,1.72,1.47,2.78,2.05,1.6,2.6,0.7,0,0,4.9,0.1,0.16,0.05,0,0,0.31,0.25,0.25,0.25,1.75,0,0.25,,,,,,0.5,,2,0,1,4,0,,,
4024,Open forests dominated by white cypress pine or coast cypress pine,100,Forest,Vesta,3.36,2.88,2.3,2.39,11,2.4,0.6,1,4.5,21,2.53,0.49,0.1,0.07,0,3.19,0.67,0.67,0.25,1.7,0.3,0.67,25,1.5,20,0.3,,,,3,0,,5,0,,,
4025,Woodlands dominated by white cypress pine or coast cypress pine,100,Forest,Vesta,2.66,2.28,2.5,2.06,5.4,3.1,0.8,0,4.5,13.8,0.51,0.29,0.1,0,0,0.9,0.4,0.4,0.35,1.61,0.3,0.4,25,1.5,20,0.3,,,,3,0,,5,0,,,
4026,Melaleuca dry open forest on sandplains or depositional plains,300,Woodland,Savanna,3.04,2.61,2.82,2.06,7.8,3.7,1.4,2,0,14.9,1.57,0.75,0.3,0.4,0,3.02,0.67,0.67,0.25,2.08,0,0.67,,,,,,0.5,,2.5,0,,5,0,,,
4027,Melalueca dry woodlands on sandplains or depositional plains,300,Woodland,Savanna,2.92,2.5,2.56,1.61,3.8,3.2,0.6,0.8,0,8.4,0.47,0.4,0.07,0.08,0,1.02,0.67,0.67,0.53,1.33,0,0.67,,,,,,0.5,,2.5,0,,3,0,,,
4028,Melaleuca open forests on seasonally inundated lowland coastal swamps,150,Wet_forest,Vesta,3.94,3,3.12,2.06,11,8,3,2,8,36.4,3.11,1.61,0.6,0.4,0,5.72,0.67,0.67,0.25,2.08,0.3,0.67,25,1.5,20,0.3,,,,3,0,,5,0,,,
4029,Melaluca woodlands on seasonally inundated lowland coastal swamps,150,Wet_forest,Vesta,3.54,3,2.85,2.05,10.3,6.9,1,1,8,27.2,1.05,0.7,0.05,0.05,0,1.85,0.4,0.4,0.35,1.4,0.3,0.4,25,1.5,20,0.3,,,,3,0,,5,0,,,
4030,Mulga / Shrubland / Grassland associated with mulga on red earth plains sandplains or residuals,310,Acacia_woodland,Savanna,1.72,1.47,1.82,2.06,1.3,3.4,0.2,0,0,4.9,0.14,0.35,0,0,0,0.49,0.4,0.4,0.35,1.61,0,0.4,,,,,,0.5,,1.8,0,,4,0,,,
4031,Acacia open forest / woodlands on residuals,310,Acacia_woodland,Savanna,2.88,2.47,2.51,2.06,4.8,2.8,0.9,0,0,8.5,0.45,0.27,0.11,0,0,0.83,0.67,0.67,0.25,1.61,0,0.67,,,,,,0.5,,2.5,0,,5,0,,,
4032,Shrublands / Grassland associated with Acacia on residuals,310,Acacia_woodland,Savanna,1.72,1.47,2.87,1.21,2.6,2.1,2.1,0,0,6.8,0.22,0.18,0.2,0,0,0.6,0.25,0.25,0.25,1.53,0,0.25,,,,,,0.6,,1.6,0,,4,0,,,
4033,Brigalow belah open forests / woodlands on heavy clay soils,310,Acacia_woodland,Savanna,3.12,2.67,2.8,2.06,10.5,2.6,1.9,0,0,15,2.08,0.52,0.42,0,0,3.02,0.67,0.67,0.25,1.61,0,0.67,,,,,,0.5,,2.5,0,,5,0,,,
4034,Brigalow belah woodlands on heavy clay soils,310,Acacia_woodland,Savanna,1.9,1.63,2.35,2.06,3.3,2.1,0.7,0,0,6.1,0.3,0.19,0.12,0,0,0.61,0.4,0.4,0.35,1.61,0,0.4,,,,,,0.5,,2.5,0,,4,0,,,
